city_id,description
2092098e-dae8-4b19-9899-8c83325352d8,Drive-through business - Restaurants
2092098e-dae8-4b19-9899-8c83325352d8,Life/care facilities
2092098e-dae8-4b19-9899-8c83325352d8,Maintenance and repair services
2092098e-dae8-4b19-9899-8c83325352d8,"Mortuaries, funeral homes"
2092098e-dae8-4b19-9899-8c83325352d8,Personal improvement services
2092098e-dae8-4b19-9899-8c83325352d8,Personal services
2092098e-dae8-4b19-9899-8c83325352d8,Printing and publishing
2092098e-dae8-4b19-9899-8c83325352d8,"Vehicle services - Washing and detailing, small-scale"
2092098e-dae8-4b19-9899-8c83325352d8,"Industry, restricted, small scale"
2092098e-dae8-4b19-9899-8c83325352d8,"Alternative fuel/recharging facilities (7, 8, 9)"
2092098e-dae8-4b19-9899-8c83325352d8,Single-room occupancy
2092098e-dae8-4b19-9899-8c83325352d8,Commercial recreation - Indoor
2092098e-dae8-4b19-9899-8c83325352d8,Commercial recreation - Outdoor
2092098e-dae8-4b19-9899-8c83325352d8,Electronic game centers
2092098e-dae8-4b19-9899-8c83325352d8,Internet access studios
2092098e-dae8-4b19-9899-8c83325352d8,Work/live units
2092098e-dae8-4b19-9899-8c83325352d8,Building materials and supplies sales
2092098e-dae8-4b19-9899-8c83325352d8,Pawnshops
2092098e-dae8-4b19-9899-8c83325352d8,Significant tobacco retailers
2092098e-dae8-4b19-9899-8c83325352d8,Swap meets
2092098e-dae8-4b19-9899-8c83325352d8,Vehicle services - Sales and leasing
2092098e-dae8-4b19-9899-8c83325352d8,Vehicle services - Sales and leasing - limited
2092098e-dae8-4b19-9899-8c83325352d8,Animal services - Boarding
2092098e-dae8-4b19-9899-8c83325352d8,Animal services - Hospitals
2092098e-dae8-4b19-9899-8c83325352d8,Emergency shelters
2092098e-dae8-4b19-9899-8c83325352d8,"Lodging - Hotels, motels"
2092098e-dae8-4b19-9899-8c83325352d8,Massage establishment
2092098e-dae8-4b19-9899-8c83325352d8,Medical services - Hospitals
2092098e-dae8-4b19-9899-8c83325352d8,"Personal services, restricted"
