city_id,zone_symbol,description
2092098e-dae8-4b19-9899-8c83325352d8,WGSP-2,West Gateway Specific Plan - Army Reserve Training Center site
2092098e-dae8-4b19-9899-8c83325352d8,LASP-RM-16,Lincoln Avenue Specific Plan-RM-16
2092098e-dae8-4b19-9899-8c83325352d8,LASP-CL,Lincoln Avenue Specific Plan-CL
2092098e-dae8-4b19-9899-8c83325352d8,LASP-CG-1,Lincoln Avenue Specific Plan-CG-1
2092098e-dae8-4b19-9899-8c83325352d8,LASP-CG-2,Lincoln Avenue Specific Plan-CG-2
2092098e-dae8-4b19-9899-8c83325352d8,LASP-PS,Lincoln Avenue Specific Plan-PS
2092098e-dae8-4b19-9899-8c83325352d8,CO-SP-1a,North Lake Specific Plan - House Building Type
2092098e-dae8-4b19-9899-8c83325352d8,CL-SP-1b,North Lake Specific Plan - Village Building Type
2092098e-dae8-4b19-9899-8c83325352d8,CO-SP-1c,North Lake Specific Plan - Village Building Type
2092098e-dae8-4b19-9899-8c83325352d8,CL-SP-1d,North Lake Specific Plan - Village Building Type
2092098e-dae8-4b19-9899-8c83325352d8,CL-SP-1e,North Lake Specific Plan - Village Building Type
2092098e-dae8-4b19-9899-8c83325352d8,IG-SP-2-HL-56,South Fair Oaks Specific Plan
2092098e-dae8-4b19-9899-8c83325352d8,IG-SP-2,South Fair Oaks Specific Plan
2092098e-dae8-4b19-9899-8c83325352d8,IG-SP-2-AD-2,South Fair Oaks Specific Plan
2092098e-dae8-4b19-9899-8c83325352d8,IG-SP-2-AD-3,South Fair Oaks Specific Plan
2092098e-dae8-4b19-9899-8c83325352d8,IG-SP-2-AD-4,South Fair Oaks Specific Plan
2092098e-dae8-4b19-9899-8c83325352d8,IG-SP-2-AD-5,South Fair Oaks Specific Plan
2092098e-dae8-4b19-9899-8c83325352d8,EPSP-d1-CO,East Pasadena Specific Plan subarea d1 commercial office district
2092098e-dae8-4b19-9899-8c83325352d8,EPSP-d1-CL,East Pasadena Specific Plan subarea d1 limited commercial district
2092098e-dae8-4b19-9899-8c83325352d8,EPSP-d1-CG,East Pasadena Specific Plan subarea d1 general commercial district
2092098e-dae8-4b19-9899-8c83325352d8,EPSP-d1-IG,East Pasadena Specific Plan subarea d1 general industrial district
2092098e-dae8-4b19-9899-8c83325352d8,EPSP-d2-CO,East Pasadena Specific Plan subarea d2 commercial office district
2092098e-dae8-4b19-9899-8c83325352d8,EPSP-d2-CL,East Pasadena Specific Plan subarea d2 limited commercial district
2092098e-dae8-4b19-9899-8c83325352d8,EPSP-d2-CG,East Pasadena Specific Plan subarea d2 general commercial district
2092098e-dae8-4b19-9899-8c83325352d8,EPSP-d2-IG,East Pasadena Specific Plan subarea d2 general industrial district
2092098e-dae8-4b19-9899-8c83325352d8,EPSP-d2-PS,East Pasadena Specific Plan subarea d2 public/semi-public district
2092098e-dae8-4b19-9899-8c83325352d8,EPSP-d3-CO,East Pasadena Specific Plan subarea d3 commercial office district
2092098e-dae8-4b19-9899-8c83325352d8,EPSP-d3-CG,East Pasadena Specific Plan subarea d3 general commercial district
2092098e-dae8-4b19-9899-8c83325352d8,PD-1,Eaton Canyon Industrial Park
2092098e-dae8-4b19-9899-8c83325352d8,PD-3,Kinneloa Annexation
2092098e-dae8-4b19-9899-8c83325352d8,PD-4,Mountain Street Classics Townhomes
2092098e-dae8-4b19-9899-8c83325352d8,PD-5,Allesandro Place/Fair Oaks
2092098e-dae8-4b19-9899-8c83325352d8,PD-6,Eaton Wash Residential
2092098e-dae8-4b19-9899-8c83325352d8,PD-7,Seco Street
2092098e-dae8-4b19-9899-8c83325352d8,PD-9,El Mirador
2092098e-dae8-4b19-9899-8c83325352d8,PD-10,Colorado/Lake
2092098e-dae8-4b19-9899-8c83325352d8,PD-11,"Foothill Boulevard, Craig Avenue and White Street"
2092098e-dae8-4b19-9899-8c83325352d8,PD-12,Walnut - Los Robles
2092098e-dae8-4b19-9899-8c83325352d8,PD-13,Marengo - bellevue
2092098e-dae8-4b19-9899-8c83325352d8,PD-15,Huntington Hotel
2092098e-dae8-4b19-9899-8c83325352d8,PD-16,Jet Propulsion Laboratory (Employee Parking)
2092098e-dae8-4b19-9899-8c83325352d8,PD-17,Rose Townhomes
2092098e-dae8-4b19-9899-8c83325352d8,PD-18,Colorado/El Nido
2092098e-dae8-4b19-9899-8c83325352d8,PD-21,Montgomery Engineering
2092098e-dae8-4b19-9899-8c83325352d8,PD-22,Lincoln Triangle Townhouse
2092098e-dae8-4b19-9899-8c83325352d8,PD-23,Salvation Army
2092098e-dae8-4b19-9899-8c83325352d8,PD-24,South Lake Avenue Development
2092098e-dae8-4b19-9899-8c83325352d8,PD-25,Vista Del Arroyo Bungalows
2092098e-dae8-4b19-9899-8c83325352d8,PD-26,Colorado - Los Robles
2092098e-dae8-4b19-9899-8c83325352d8,PD-27,King's Village
2092098e-dae8-4b19-9899-8c83325352d8,PD-28,Community Arms
2092098e-dae8-4b19-9899-8c83325352d8,PD-29,Artisan Village
2092098e-dae8-4b19-9899-8c83325352d8,PD-31,Montana I and II
2092098e-dae8-4b19-9899-8c83325352d8,PD-32,Rose Avenue
2092098e-dae8-4b19-9899-8c83325352d8,PD-33,DESIDERIO
2092098e-dae8-4b19-9899-8c83325352d8,PD-34,100 West Walnut Planned Development
2092098e-dae8-4b19-9899-8c83325352d8,PD-35,Colorado Hill Planned Development
